,0
1393,Auchy-lez-Orchies
1394,Aucun
1395,Audaux
1396,Audelange
1397,Audeloncourt
1398,Audembert
1399,Audenge
1400,Audes
1401,Audeux
1402,Audeville
1403,Audierne
1404,Audignicourt
1405,Audignies
1406,Audignon
1407,Audigny
1408,Audincourt
1409,Audincthun
1410,Audinghen
1411,Audon
1412,Audouville-la-Hubert
1413,Audrehem
1414,Audressein
1415,Audresselles
1416,Audrieu
1417,Audrix
1418,Audruicq
1419,Audun-le-Roman
1420,Audun-le-Tiche
1421,Auffargis
1422,Aufferville
1423,Auffreville-Brasseuil
1424,Auflance
1425,Auga
1426,Augan
1427,Auge
1428,Auge
1429,Augé
1430,Augea
1431,Auger-Saint-Vincent
1432,Augerans
1433,Augères
1434,Augerolles
1435,Augers-en-Brie
1436,Augerville-la-Rivière
1437,Augicourt
1438,Augignac
1439,Augirein
1440,Augisey
1441,Augnat
1442,Augnax
1443,Augne
1444,Augny
1445,Auguaise
1446,Augy
1447,Augy
1448,Augy-sur-Aubois
1449,Aujac
1450,Aujac
1451,Aujan-Mournède
1452,Aujargues
1453,Aujeurres
1454,Aujols
1455,Aulan
1456,Aulas
1457,Aulhat-Flat
1458,Aullène
1459,Aulnat
1460,Aulnay
1461,Aulnay
1462,Aulnay
1463,Aulnay-l'Aître
1464,Aulnay-la-Rivière
1465,Aulnay-sous-Bois
1466,Aulnay-sur-Iton
1467,Aulnay-sur-Marne
1468,Aulnay-sur-Mauldre
